REPORT 90 E-4,,,,,,,,,,
Population Estimates for California State and Counties,,,,,,,,,,
"January 1, 1981 to January 1, 1990",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
COUNTY,1-1-81  ,1-1-82  ,1-1-83  ,1-1-84  ,1-1-85  ,1-1-86  ,1-1-87  ,1-1-88  ,1-1-89  ,1-1-90  
  Morro Bay," 9,150 "," 9,150 "," 9,300 "," 9,400 "," 9,400 "," 9,450 "," 9,325 "," 9,350 "," 9,425 "," 9,625 "
  Pismo Beach," 5,350 "," 5,375 "," 5,600 "," 5,675 "," 5,750 "," 6,225 "," 6,575 "," 6,850 "," 7,275 "," 7,575 "
  San Luis Obispo," 34,700 "," 35,200 "," 35,800 "," 36,500 "," 37,100 "," 38,100 "," 38,500 "," 39,450 "," 40,600 "," 41,650 "
  Incorporated," 96,200 "," 98,600 "," 100,800 "," 104,100 "," 107,100 "," 111,000 "," 114,300 "," 117,500 "," 121,300 "," 126,000 "
  Unincorporated," 63,100 "," 65,400 "," 67,500 "," 69,400 "," 72,800 "," 76,800 "," 79,600 "," 81,400 "," 84,500 "," 89,000 "
,,,,,,,,,,
SAN MATEO," 589,600 "," 592,900 "," 599,600 "," 607,900 "," 614,400 "," 618,600 "," 622,600 "," 629,800 "," 638,300 "," 647,400 "
  Atherton," 7,775 "," 7,650 "," 7,650 "," 7,600 "," 7,525 "," 7,450 "," 7,350 "," 7,375 "," 7,250 "," 7,175 "
  Belmont," 24,400 "," 24,300 "," 24,350 "," 24,450 "," 24,400 "," 24,400 "," 24,300 "," 24,100 "," 24,050 "," 24,100 "
  Brisbane," 2,960 "," 2,990 "," 2,980 "," 2,980 "," 2,990 "," 2,980 "," 2,940 "," 2,900 "," 2,910 "," 2,920 "
  Burlingame," 26,150 "," 26,200 "," 26,500 "," 26,550 "," 26,750 "," 26,700 "," 26,650 "," 26,650 "," 26,650 "," 26,750 "
  Colma, 420 , 530 , 840 , 860 , 900 , 930 , 960 , 980 ," 1,030 "," 1,090 "
  Daly City," 79,100 "," 80,100 "," 81,600 "," 82,900 "," 84,500 "," 85,600 "," 86,600 "," 88,900 "," 90,200 "," 91,800 "
  East Palo Alto, (1), (1), (1)," 20,400 "," 21,000 "," 21,500 "," 21,950 "," 22,300 "," 22,800 "," 23,350 "
  Foster City," 23,300 "," 23,550 "," 23,650 "," 23,800 "," 23,700 "," 25,400 "," 26,250 "," 27,550 "," 28,100 "," 28,150 "
  Half Moon Bay," 7,275 "," 7,225 "," 7,275 "," 7,325 "," 7,500 "," 7,550 "," 7,725 "," 7,850 "," 8,300 "," 8,775 "
  Hillsborough," 10,500 "," 10,550 "," 10,600 "," 10,600 "," 10,700 "," 10,650 "," 10,600 "," 10,600 "," 10,650 "," 10,700 "
  Menlo Park," 26,300 "," 26,300 "," 26,450 "," 26,550 "," 27,700 "," 27,800 "," 27,500 "," 27,450 "," 27,800 "," 28,050 "
  Millbrae," 20,050 "," 20,050 "," 20,150 "," 20,200 "," 20,150 "," 20,150 "," 20,200 "," 20,250 "," 20,200 "," 20,450 "
  Pacifica," 36,700 "," 36,550 "," 36,650 "," 36,650 "," 36,700 "," 36,850 "," 36,600 "," 36,500 "," 37,000 "," 37,500 "
  Portola Valley," 3,960 "," 4,000 "," 3,990 "," 4,020 "," 4,020 "," 4,070 "," 4,150 "," 4,170 "," 4,220 "," 4,210 "
  Redwood City," 55,300 "," 55,700 "," 57,000 "," 57,800 "," 59,000 "," 59,800 "," 61,300 "," 62,200 "," 63,700 "," 65,600 "
  San Bruno," 35,500 "," 35,400 "," 35,700 "," 35,800 "," 36,200 "," 36,350 "," 36,500 "," 37,950 "," 38,200 "," 38,900 "
  San Carlos," 24,850 "," 25,050 "," 25,250 "," 25,300 "," 25,450 "," 25,550 "," 25,450 "," 25,550 "," 25,700 "," 26,100 "
  San Mateo," 77,900 "," 78,300 "," 79,800 "," 81,400 "," 82,600 "," 82,600 "," 83,200 "," 83,100 "," 84,700 "," 85,200 "
  South San Francisco," 50,200 "," 51,000 "," 51,200 "," 52,100 "," 52,800 "," 52,700 "," 52,700 "," 52,800 "," 53,400 "," 54,000 "
  Woodside," 5,275 "," 5,225 "," 5,175 "," 5,150 "," 5,125 "," 5,100 "," 5,075 "," 5,050 "," 5,050 "," 5,050 "
  Incorporated," 517,800 "," 520,700 "," 526,800 "," 552,400 "," 559,700 "," 564,100 "," 567,900 "," 574,200 "," 582,000 "," 589,900 "
  Unincorporated," 71,800 "," 72,100 "," 72,800 "," 55,500 "," 54,700 "," 54,400 "," 54,700 "," 55,600 "," 56,400 "," 57,500 "
,,,,,,,,,,
SANTA BARBARA," 303,200 "," 309,900 "," 318,000 "," 326,200 "," 333,900 "," 341,900 "," 348,300 "," 353,000 "," 359,800 "," 368,000 "
  Carpinteria," 11,000 "," 11,150 "," 11,300 "," 11,550 "," 11,750 "," 12,050 "," 12,350 "," 13,300 "," 13,450 "," 13,700 "
  Guadalupe," 3,740 "," 3,840 "," 4,070 "," 4,230 "," 4,310 "," 4,620 "," 5,200 "," 5,275 "," 5,475 "," 5,475 "
  Lompoc," 26,750 "," 28,200 "," 29,300 "," 30,000 "," 30,500 "," 32,200 "," 33,350 "," 34,650 "," 35,850 "," 37,100 "
  Santa Barbara," 75,200 "," 76,000 "," 77,900 "," 79,400 "," 80,500 "," 81,400 "," 81,800 "," 82,100 "," 83,600 "," 85,200 "
  Santa Maria," 41,050 "," 43,000 "," 45,300 "," 48,250 "," 51,200 "," 53,100 "," 55,400 "," 56,800 "," 58,500 "," 60,800 "
  Solvang, (1), (1), (1), (1), (1)," 3,870 "," 4,150 "," 4,340 "," 4,440 "," 4,760 "
  Incorporated," 157,700 "," 162,200 "," 167,900 "," 173,500 "," 178,200 "," 187,300 "," 192,300 "," 196,500 "," 201,200 "," 207,000 "
  Unincorporated," 145,400 "," 147,700 "," 150,100 "," 152,700 "," 155,600 "," 154,600 "," 156,000 "," 156,500 "," 158,600 "," 161,000 "
,,,,,,,,,,
SANTA CLARA," 1,311,600 "," 1,332,300 "," 1,355,500 "," 1,379,100 "," 1,400,300 "," 1,415,300 "," 1,427,000 "," 1,445,100 "," 1,471,100 "," 1,493,800 "
  Campbell," 31,150 "," 32,300 "," 33,300 "," 33,550 "," 34,250 "," 34,500 "," 34,100 "," 34,600 "," 35,450 "," 35,850 "
  Cupertino," 37,350 "," 37,400 "," 37,750 "," 37,850 "," 38,000 "," 38,350 "," 38,350 "," 38,350 "," 39,450 "," 40,300 "
  Gilroy," 22,400 "," 23,400 "," 24,800 "," 26,050 "," 27,000 "," 27,650 "," 28,450 "," 29,800 "," 30,950 "," 31,500 "
  Los Altos," 26,100 "," 25,900 "," 26,500 "," 27,200 "," 26,950 "," 26,700 "," 26,250 "," 26,300 "," 26,250 "," 26,350 "
  Los Altos Hills," 7,450 "," 7,475 "," 7,450 "," 7,500 "," 7,525 "," 7,525 "," 7,400 "," 7,400 "," 7,450 "," 7,525 "
  Los Gatos," 27,100 "," 27,150 "," 27,200 "," 27,400 "," 27,500 "," 27,550 "," 27,300 "," 27,250 "," 27,500 "," 27,350 "
  Milpitas," 38,700 "," 39,850 "," 41,100 "," 42,150 "," 43,250 "," 44,600 "," 45,500 "," 46,800 "," 48,700 "," 50,600 "
  Monte Sereno," 3,440 "," 3,400 "," 3,400 "," 3,410 "," 3,390 "," 3,350 "," 3,270 "," 3,300 "," 3,290 "," 3,290 "
  Morgan Hill," 17,600 "," 18,050 "," 18,250 "," 18,550 "," 19,200 "," 19,950 "," 20,500 "," 21,400 "," 22,750 "," 23,950 "
  Mountain View," 59,600 "," 60,800 "," 61,800 "," 62,800 "," 63,200 "," 63,400 "," 63,800 "," 64,500 "," 65,900 "," 67,500 "
  Palo Alto," 55,000 "," 55,200 "," 55,700 "," 55,800 "," 56,100 "," 56,000 "," 55,800 "," 55,700 "," 56,200 "," 56,400 "
  San Jose," 648,800 "," 667,500 "," 680,900 "," 696,700 "," 713,600 "," 726,600 "," 738,300 "," 749,900 "," 765,300 "," 778,500 "
  Santa Clara," 87,500 "," 87,600 "," 88,700 "," 89,700 "," 90,000 "," 90,000 "," 89,800 "," 91,100 "," 92,100 "," 93,300 "
  Saratoga," 29,000 "," 29,500 "," 29,300 "," 29,000 "," 28,600 "," 28,200 "," 28,100 "," 28,000 "," 28,050 "," 28,200 "
  Sunnyvale," 106,900 "," 107,500 "," 108,800 "," 111,700 "," 112,400 "," 113,800 "," 115,000 "," 116,100 "," 116,900 "," 117,400 "
  Incorporated," 1,198,100 "," 1,222,900 "," 1,245,000 "," 1,269,500 "," 1,290,900 "," 1,308,100 "," 1,321,900 "," 1,340,600 "," 1,366,200 "," 1,388,000 "
  Unincorporated," 113,500 "," 109,400 "," 110,500 "," 109,600 "," 109,400 "," 107,200 "," 105,100 "," 104,500 "," 104,800 "," 105,800 "
,,,,,,,,,,
SANTA CRUZ ," 191,000 "," 194,600 "," 198,200 "," 201,700 "," 206,000 "," 210,700 "," 215,400 "," 219,200 "," 224,500 "," 228,700 "
  Capitola," 9,175 "," 9,200 "," 9,325 "," 9,400 "," 9,425 "," 9,650 "," 9,700 "," 9,825 "," 9,900 "," 10,000 "
  Santa Cruz," 42,050 "," 42,250 "," 42,700 "," 42,900 "," 43,500 "," 44,150 "," 45,150 "," 46,400 "," 47,850 "," 48,800 "
  Scotts Valley," 7,025 "," 7,075 "," 7,075 "," 7,075 "," 7,100 "," 7,300 "," 7,300 "," 7,775 "," 8,300 "," 8,550 "
  Watsonville," 23,950 "," 24,200 "," 24,800 "," 25,250 "," 26,200 "," 27,350 "," 28,450 "," 29,300 "," 30,300 "," 30,850 "
  Incorporated," 82,200 "," 82,700 "," 83,900 "," 84,700 "," 86,300 "," 88,400 "," 90,600 "," 93,300 "," 96,300 "," 98,200 "
  Unincorporated," 108,800 "," 111,800 "," 114,300 "," 117,100 "," 119,800 "," 122,200 "," 124,800 "," 125,900 "," 128,200 "," 130,500 "
,,,,,,,,,,
SHASTA," 118,600 "," 121,100 "," 122,500 "," 124,500 "," 127,500 "," 130,200 "," 132,700 "," 136,200 "," 140,100 "," 145,300 "
  Anderson," 7,250 "," 7,200 "," 7,275 "," 7,400 "," 7,525 "," 7,625 "," 7,850 "," 8,025 "," 8,075 "," 8,375 "
  Redding," 42,450 "," 44,300 "," 45,850 "," 47,700 "," 49,300 "," 51,500 "," 53,800 "," 56,800 "," 60,500 "," 64,600 "
  Incorporated," 49,750 "," 51,500 "," 53,100 "," 55,100 "," 56,800 "," 59,100 "," 61,700 "," 64,800 "," 68,600 "," 72,900 "
  Unincorporated," 68,800 "," 69,600 "," 69,400 "," 69,400 "," 70,700 "," 71,100 "," 71,000 "," 71,400 "," 71,500 "," 72,400 "
,,,,,,,,,,
SIERRA," 3,080 "," 3,150 "," 3,250 "," 3,240 "," 3,230 "," 3,210 "," 3,160 "," 3,230 "," 3,230 "," 3,280 "
  Loyalton," 1,040 "," 1,060 "," 1,060 "," 1,030 "," 1,010 "," 1,000 ", 980 , 970 , 920 , 920 
  Incorporated," 1,040 "," 1,060 "," 1,060 "," 1,030 "," 1,010 "," 1,000 ", 980 , 970 , 920 , 920 
  Unincorporated," 2,040 "," 2,090 "," 2,190 "," 2,210 "," 2,220 "," 2,200 "," 2,190 "," 2,260 "," 2,300 "," 2,360 "
,,,,,,,,,,
SISKIYOU," 40,350 "," 41,000 "," 41,250 "," 41,150 "," 41,350 "," 41,300 "," 41,200 "," 41,650 "," 42,400 "," 43,300 "
  Dorris, 820 , 860 , 860 , 830 , 860 , 930 , 890 , 900 , 900 , 890 
  Dunsmuir," 2,220 "," 2,170 "," 2,070 "," 2,110 "," 2,090 "," 2,050 "," 2,080 "," 2,100 "," 2,100 "," 2,130 "
  Etna, 760 , 760 , 760 , 790 , 820 , 790 , 810 , 810 , 820 , 830 
  Fort Jones, 530 , 540 , 530 , 550 , 610 , 570 , 590 , 620 , 630 , 630 
  Montague," 1,320 "," 1,360 "," 1,370 "," 1,350 "," 1,380 "," 1,400 "," 1,460 "," 1,440 "," 1,440 "," 1,430 "
  Mount Shasta," 2,800 "," 2,820 "," 2,800 "," 2,780 "," 2,770 "," 2,980 "," 3,140 "," 3,240 "," 3,310 "," 3,470 "
  Tulelake, 810 , 830 , 860 , 910 , 970 , 970 , 950 , 980 , 990 ," 1,010 "
  Weed," 2,830 "," 2,800 "," 2,970 "," 2,990 "," 2,900 "," 2,930 "," 2,930 "," 2,990 "," 3,030 "," 3,050 "
  Yreka," 6,050 "," 6,300 "," 6,550 "," 6,600 "," 6,575 "," 6,525 "," 6,450 "," 6,525 "," 6,625 "," 6,925 "
  Incorporated," 18,150 "," 18,450 "," 18,800 "," 18,900 "," 18,950 "," 19,150 "," 19,300 "," 19,600 "," 19,850 "," 20,350 "
  Unincorporated," 22,200 "," 22,500 "," 22,450 "," 22,250 "," 22,400 "," 22,150 "," 21,950 "," 22,050 "," 22,550 "," 22,950 "
,,,,,,,,,,
SOLANO ," 241,900 "," 250,700 "," 258,500 "," 263,800 "," 269,400 "," 278,500 "," 291,500 "," 304,500 "," 318,000 "," 335,200 "
  Benicia," 16,300 "," 17,350 "," 18,100 "," 18,850 "," 20,350 "," 20,600 "," 21,250 "," 22,450 "," 23,350 "," 24,150 "
  Dixon," 7,950 "," 8,225 "," 8,775 "," 8,925 "," 9,250 "," 9,775 "," 10,000 "," 10,150 "," 10,150 "," 10,250 "
  Fairfield," 58,800 "," 60,600 "," 62,300 "," 63,200 "," 63,700 "," 65,500 "," 67,800 "," 70,400 "," 72,300 "," 76,300 "
  Rio Vista," 3,170 "," 3,190 "," 3,300 "," 3,280 "," 3,360 "," 3,330 "," 3,260 "," 3,290 "," 3,300 "," 3,340 "
  Suisun City," 11,850 "," 12,450 "," 13,100 "," 13,950 "," 14,350 "," 15,850 "," 17,150 "," 18,450 "," 20,200 "," 22,200 "
  Vacaville," 44,550 "," 46,450 "," 47,450 "," 48,500 "," 49,900 "," 52,800 "," 58,700 "," 61,000 "," 63,900 "," 69,700 "
  Vallejo," 82,500 "," 85,200 "," 87,600 "," 89,100 "," 90,100 "," 91,600 "," 94,300 "," 99,000 "," 104,300 "," 107,900 "
  Incorporated," 225,200 "," 233,500 "," 240,600 "," 245,700 "," 251,000 "," 259,400 "," 272,500 "," 284,800 "," 297,500 "," 313,900 "
  Unincorporated," 16,700 "," 17,150 "," 17,800 "," 18,050 "," 18,450 "," 19,150 "," 19,100 "," 19,750 "," 20,550 "," 21,350 "
,,,,,,,,,,
SONOMA," 305,100 "," 311,500 "," 317,800 "," 323,100 "," 329,700 "," 338,800 "," 348,500 "," 359,600 "," 371,300 "," 384,700 "
  Cloverdale," 4,140 "," 4,220 "," 4,260 "," 4,250 "," 4,350 "," 4,390 "," 4,450 "," 4,510 "," 4,600 "," 4,890 "
  Cotati," 3,420 "," 3,780 "," 3,930 "," 3,970 "," 4,030 "," 4,270 "," 4,410 "," 4,710 "," 5,050 "," 5,625 "
  Healdsburg," 7,300 "," 7,625 "," 7,725 "," 7,850 "," 8,075 "," 8,425 "," 8,650 "," 8,925 "," 9,275 "," 9,475 "
  Petaluma," 34,750 "," 35,050 "," 35,800 "," 36,400 "," 37,200 "," 38,250 "," 39,000 "," 39,850 "," 41,350 "," 42,800 "
  Rohnert Park," 23,900 "," 25,400 "," 26,300 "," 27,450 "," 28,700 "," 30,300 "," 32,450 "," 33,000 "," 34,050 "," 36,000 "
  Santa Rosa," 84,400 "," 86,300 "," 88,000 "," 90,800 "," 93,700 "," 96,600 "," 101,800 "," 106,900 "," 110,200 "," 112,200 "
  Sebastopol," 5,725 "," 5,825 "," 6,025 "," 6,100 "," 6,200 "," 6,350 "," 6,475 "," 6,550 "," 6,650 "," 6,950 "
  Sonoma," 6,175 "," 6,450 "," 6,625 "," 6,725 "," 6,700 "," 6,875 "," 7,025 "," 7,275 "," 7,600 "," 8,025 "
  Incorporated," 169,800 "," 174,700 "," 178,600 "," 183,600 "," 188,900 "," 195,500 "," 204,200 "," 211,700 "," 218,800 "," 225,900 "
  Unincorporated," 135,200 "," 136,700 "," 139,100 "," 139,600 "," 140,800 "," 143,300 "," 144,300 "," 147,900 "," 152,500 "," 158,700 "
,,,,,,,,,,
STANISLAUS," 271,700 "," 278,400 "," 285,200 "," 291,800 "," 298,400 "," 307,300 "," 318,900 "," 331,700 "," 346,400 "," 365,100 "
  Ceres," 14,250 "," 14,900 "," 16,250 "," 16,550 "," 17,250 "," 17,750 "," 18,550 "," 19,300 "," 22,950 "," 25,850 "
  Hughson," 2,940 "," 2,930 "," 2,930 "," 2,970 "," 3,020 "," 3,030 "," 3,060 "," 3,060 "," 3,110 "," 3,220 "
  Modesto," 110,300 "," 116,300 "," 119,300 "," 124,400 "," 128,200 "," 133,100 "," 140,100 "," 146,100 "," 154,000 "," 162,100 "
  Newman," 2,890 "," 3,130 "," 3,320 "," 3,390 "," 3,410 "," 3,410 "," 3,430 "," 3,440 "," 3,520 "," 3,960 "
  Oakdale," 8,700 "," 8,950 "," 9,150 "," 9,275 "," 9,825 "," 10,150 "," 10,450 "," 11,100 "," 11,400 "," 11,800 "
  Patterson," 4,150 "," 4,390 "," 4,370 "," 4,570 "," 4,690 "," 4,860 "," 5,525 "," 6,550 "," 7,425 "," 8,450 "
  Riverbank," 5,825 "," 5,950 "," 6,125 "," 6,150 "," 6,475 "," 6,850 "," 7,000 "," 7,475 "," 7,900 "," 8,425 "
  Turlock," 27,800 "," 28,650 "," 30,050 "," 31,500 "," 32,050 "," 33,050 "," 34,450 "," 36,950 "," 39,550 "," 41,750 "
  Waterford," 2,820 "," 2,960 "," 3,080 "," 3,160 "," 3,200 "," 3,450 "," 3,690 "," 3,840 "," 4,010 "," 4,570 "
  Incorporated," 179,700 "," 188,100 "," 194,500 "," 202,000 "," 208,100 "," 215,600 "," 226,300 "," 237,800 "," 253,900 "," 270,200 "
  Unincorporated," 92,000 "," 90,300 "," 90,600 "," 89,900 "," 90,300 "," 91,700 "," 92,600 "," 93,900 "," 92,500 "," 94,900 "
,,,,,,,,,,
SUTTER ," 53,200 "," 54,600 "," 56,100 "," 56,900 "," 57,300 "," 58,200 "," 59,200 "," 60,600 "," 61,800 "," 63,700 "
  Live Oak," 3,140 "," 3,430 "," 3,750 "," 3,800 "," 3,750 "," 3,770 "," 3,860 "," 3,980 "," 4,090 "," 4,280 "
  Yuba City," 19,300 "," 20,050 "," 20,500 "," 20,950 "," 21,450 "," 21,850 "," 22,750 "," 23,750 "," 26,000 "," 27,000 "
  Incorporated," 22,450 "," 23,500 "," 24,250 "," 24,750 "," 25,200 "," 25,650 "," 26,650 "," 27,700 "," 30,100 "," 31,250 "
  Unincorporated," 30,800 "," 31,100 "," 31,850 "," 32,100 "," 32,150 "," 32,550 "," 32,600 "," 32,850 "," 31,700 "," 32,450 "
,,,,,,,,,,
TEHAMA," 39,650 "," 40,700 "," 41,700 "," 42,550 "," 43,550 "," 44,350 "," 45,150 "," 46,300 "," 47,450 "," 49,100 "
  Corning," 4,850 "," 4,870 "," 5,025 "," 5,100 "," 5,100 "," 5,350 "," 5,475 "," 5,500 "," 5,625 "," 5,800 "
  Red Bluff," 9,700 "," 10,050 "," 10,400 "," 10,650 "," 10,950 "," 11,000 "," 11,450 "," 11,700 "," 11,950 "," 12,300 "
  Tehama, 380 , 370 , 380 , 380 , 380 , 380 , 380 , 380 , 400 , 400 
  Incorporated," 14,900 "," 15,300 "," 15,800 "," 16,150 "," 16,450 "," 16,750 "," 17,300 "," 17,600 "," 18,000 "," 18,500 "
  Unincorporated," 24,700 "," 25,400 "," 25,900 "," 26,400 "," 27,100 "," 27,600 "," 27,850 "," 28,700 "," 29,450 "," 30,600 "
,,,,,,,,,,
TRINITY," 12,150 "," 12,300 "," 12,350 "," 12,500 "," 12,700 "," 12,750 "," 12,600 "," 12,700 "," 13,000 "," 13,050 "
  Unincorporated," 12,150 "," 12,300 "," 12,350 "," 12,500 "," 12,700 "," 12,750 "," 12,600 "," 12,700 "," 13,000 "," 13,050 "
,,,,,,,,,,
TULARE ," 250,800 "," 257,200 "," 264,000 "," 270,900 "," 277,300 "," 283,700 "," 289,700 "," 296,000 "," 301,700 "," 309,200 "
  Dinuba," 10,200 "," 10,400 "," 10,650 "," 10,750 "," 11,000 "," 11,300 "," 11,550 "," 12,000 "," 12,300 "," 12,700 "
  Exeter," 5,650 "," 5,825 "," 5,925 "," 6,000 "," 6,325 "," 6,375 "," 6,625 "," 6,825 "," 7,250 "," 7,275 "
  Farmersville," 5,650 "," 5,775 "," 5,925 "," 6,075 "," 6,200 "," 6,200 "," 6,200 "," 6,125 "," 6,150 "," 6,225 "
  Lindsay," 7,050 "," 7,350 "," 7,450 "," 7,500 "," 7,675 "," 7,875 "," 7,850 "," 7,850 "," 8,050 "," 8,325 "
  Porterville," 21,450 "," 21,900 "," 22,750 "," 23,450 "," 24,250 "," 24,800 "," 25,050 "," 25,500 "," 27,450 "," 29,300 "
  Tulare," 23,050 "," 24,000 "," 24,850 "," 25,800 "," 26,850 "," 27,350 "," 28,150 "," 28,900 "," 30,600 "," 33,050 "
  Visalia," 52,700 "," 54,000 "," 55,500 "," 57,800 "," 60,200 "," 62,400 "," 64,400 "," 66,800 "," 70,500 "," 74,000 "
  Woodlake," 4,420 "," 4,570 "," 4,690 "," 4,740 "," 4,870 "," 5,125 "," 5,300 "," 5,400 "," 5,450 "," 5,675 "
  Incorporated," 130,200 "," 133,700 "," 137,800 "," 142,100 "," 147,400 "," 151,400 "," 155,200 "," 159,300 "," 167,800 "," 176,600 "
  Unincorporated," 120,600 "," 123,400 "," 126,200 "," 128,700 "," 129,800 "," 132,300 "," 134,600 "," 136,700 "," 133,800 "," 132,600 "
,,,,,,,,,,
TUOLUMNE ," 34,800 "," 35,850 "," 37,000 "," 37,800 "," 38,950 "," 41,100 "," 42,400 "," 44,200 "," 46,050 "," 48,000 "
  Sonora," 3,370 "," 3,340 "," 3,830 "," 3,860 "," 3,850 "," 3,780 "," 3,800 "," 3,910 "," 4,100 "," 4,200 "
  Incorporated," 3,370 "," 3,340 "," 3,830 "," 3,860 "," 3,850 "," 3,780 "," 3,800 "," 3,910 "," 4,100 "," 4,200 "
  Unincorporated," 31,450 "," 32,550 "," 33,150 "," 33,950 "," 35,100 "," 37,300 "," 38,600 "," 40,250 "," 41,950 "," 43,750 "
,,,,,,,,,,
VENTURA ," 538,400 "," 552,200 "," 566,000 "," 578,700 "," 590,700 "," 604,300 "," 618,800 "," 635,900 "," 653,500 "," 666,800 "
  Camarillo," 39,100 "," 39,950 "," 41,650 "," 43,550 "," 45,000 "," 46,100 "," 47,100 "," 48,650 "," 50,200 "," 52,100 "
  Fillmore," 9,725 "," 9,900 "," 10,200 "," 10,450 "," 10,550 "," 11,000 "," 11,250 "," 11,350 "," 11,700 "," 11,950 "
  Moorpark, (1), (1), (1)," 11,550 "," 13,600 "," 15,250 "," 17,000 "," 21,950 "," 24,250 "," 25,250 "
  Ojai," 6,975 "," 7,100 "," 7,250 "," 7,350 "," 7,450 "," 7,475 "," 7,475 "," 7,575 "," 7,625 "," 7,650 "
  Oxnard," 111,700 "," 115,300 "," 122,700 "," 124,700 "," 126,900 "," 129,200 "," 131,400 "," 134,400 "," 137,700 "," 140,400 "
  Port Hueneme," 17,800 "," 18,300 "," 18,750 "," 19,650 "," 19,900 "," 19,750 "," 19,650 "," 19,850 "," 19,850 "," 20,250 "
  San Buenaventura," 77,500 "," 79,200 "," 82,300 "," 83,700 "," 85,300 "," 86,700 "," 87,800 "," 89,000 "," 91,300 "," 92,600 "
  Santa Paula," 20,850 "," 21,500 "," 22,000 "," 22,550 "," 23,200 "," 23,750 "," 24,150 "," 24,600 "," 25,000 "," 25,050 "
  Simi Valley," 78,500 "," 80,400 "," 82,000 "," 83,500 "," 85,500 "," 88,500 "," 93,200 "," 96,100 "," 98,300 "," 99,600 "
  Thousand Oaks," 84,500 "," 89,500 "," 91,400 "," 92,800 "," 93,700 "," 96,100 "," 98,000 "," 100,300 "," 103,200 "," 104,800 "
  Incorporated," 446,600 "," 461,300 "," 478,300 "," 499,800 "," 511,100 "," 523,800 "," 537,000 "," 553,800 "," 569,200 "," 579,700 "
  Unincorporated," 91,800 "," 91,000 "," 87,800 "," 78,900 "," 79,600 "," 80,500 "," 81,800 "," 82,100 "," 84,300 "," 87,100 "
,,,,,,,,,,
YOLO," 114,500 "," 116,300 "," 118,200 "," 119,600 "," 122,200 "," 124,200 "," 126,400 "," 131,500 "," 135,100 "," 140,000 "
  Davis," 36,700 "," 37,700 "," 38,100 "," 38,900 "," 40,450 "," 40,650 "," 41,200 "," 42,500 "," 44,650 "," 45,850 "
  West Sacramento, (1), (1), (1), (1), (1), (1)," 28,200 "," 28,200 "," 27,950 "," 28,700 "
  Winters," 2,650 "," 2,670 "," 2,970 "," 3,090 "," 3,180 "," 3,340 "," 3,600 "," 3,730 "," 4,060 "," 4,540 "
  Woodland," 30,750 "," 31,050 "," 31,800 "," 32,600 "," 32,950 "," 34,050 "," 34,450 "," 36,100 "," 37,600 "," 39,500 "
  Incorporated," 70,100 "," 71,400 "," 72,900 "," 74,600 "," 76,600 "," 78,100 "," 107,500 "," 110,500 "," 114,300 "," 118,600 "
  Unincorporated," 44,400 "," 44,950 "," 45,350 "," 45,000 "," 45,600 "," 46,100 "," 18,950 "," 21,000 "," 20,750 "," 21,350 "
,,,,,,,,,,
YUBA ," 49,800 "," 50,700 "," 51,500 "," 52,000 "," 52,700 "," 53,300 "," 54,200 "," 55,300 "," 56,300 "," 57,700 "
  Marysville," 9,950 "," 10,100 "," 10,400 "," 10,500 "," 10,650 "," 11,000 "," 11,150 "," 11,400 "," 11,800 "," 12,200 "
  Wheatland," 1,530 "," 1,500 "," 1,520 "," 1,520 "," 1,540 "," 1,530 "," 1,570 "," 1,610 "," 1,630 "," 1,630 "
  Incorporated," 11,450 "," 11,600 "," 11,950 "," 12,000 "," 12,200 "," 12,550 "," 12,700 "," 13,000 "," 13,450 "," 13,850 "
  Unincorporated," 38,300 "," 39,050 "," 39,550 "," 40,000 "," 40,500 "," 40,800 "," 41,450 "," 42,300 "," 42,850 "," 43,900 "
,,,,,,,,,,
CALIFORNIA," 24,039,000 "," 24,547,000 "," 25,076,000 "," 25,587,000 "," 26,113,000 "," 26,742,000 "," 27,388,000 "," 28,061,000 "," 28,771,000 "," 29,558,000 "
  Incorporated," 18,325,000 "," 18,742,000 "," 19,228,000 "," 19,711,000 "," 20,222,000 "," 20,750,000 "," 21,345,000 "," 22,009,000 "," 22,734,000 "," 23,454,000 "
  Unincorporated," 5,714,000 "," 5,804,700 "," 5,847,600 "," 5,876,600 "," 5,890,600 "," 5,991,900 "," 6,043,100 "," 6,051,500 "," 6,037,600 "," 6,103,700 "
,,,,,,,,,,
Totals may not equal sum due to independent rounding.,,,,,,,,,,
(1) Unincorporated at this time.,,,,,,,,,,
