REPORT 90 E-4,,,,,,,,,,
Population Estimates for California State and Counties,,,,,,,,,,
"January 1, 1981 to January 1, 1990",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
COUNTY,1-1-81  ,1-1-82  ,1-1-83  ,1-1-84  ,1-1-85  ,1-1-86  ,1-1-87  ,1-1-88  ,1-1-89  ,1-1-90  
  Biggs," 1,390 "," 1,390 "," 1,420 "," 1,440 "," 1,460 "," 1,460 "," 1,470 "," 1,480 "," 1,500 "," 1,540 "
  Chico," 27,750 "," 28,550 "," 28,900 "," 30,050 "," 31,600 "," 33,100 "," 34,500 "," 35,750 "," 37,550 "," 39,750 "
  Gridley," 4,000 "," 4,110 "," 4,160 "," 4,300 "," 4,380 "," 4,340 "," 4,370 "," 4,410 "," 4,430 "," 4,630 "
  Oroville," 9,200 "," 9,550 "," 10,150 "," 10,300 "," 10,500 "," 10,600 "," 10,850 "," 11,300 "," 11,650 "," 11,850 "
  Paradise," 22,550 "," 22,850 "," 23,150 "," 23,300 "," 23,300 "," 23,650 "," 23,850 "," 24,350 "," 24,750 "," 25,150 "
  Incorporated," 64,900 "," 66,500 "," 67,800 "," 69,400 "," 71,200 "," 73,200 "," 75,100 "," 77,300 "," 79,900 "," 82,900 "
  Unincorporated," 81,900 "," 84,300 "," 86,000 "," 87,200 "," 88,400 "," 89,900 "," 91,100 "," 93,500 "," 95,300 "," 97,500 "
,,,,,,,,,,
CALAVERAS," 21,350 "," 22,250 "," 23,200 "," 23,850 "," 24,650 "," 25,550 "," 26,800 "," 28,200 "," 29,700 "," 31,550 "
  Angels Camp," 2,200 "," 2,150 "," 2,140 "," 2,070 "," 2,060 "," 2,060 "," 2,210 "," 2,320 "," 2,320 "," 2,390 "
  Incorporated," 2,200 "," 2,150 "," 2,140 "," 2,070 "," 2,060 "," 2,060 "," 2,210 "," 2,320 "," 2,320 "," 2,390 "
  Unincorporated," 19,150 "," 20,100 "," 21,050 "," 21,750 "," 22,600 "," 23,500 "," 24,600 "," 25,850 "," 27,400 "," 29,150 "
,,,,,,,,,,
COLUSA," 13,000 "," 13,500 "," 13,950 "," 14,050 "," 14,300 "," 14,700 "," 14,800 "," 15,100 "," 15,600 "," 16,150 "
  Colusa," 4,050 "," 4,080 "," 4,140 "," 4,160 "," 4,350 "," 4,490 "," 4,560 "," 4,610 "," 4,770 "," 4,900 "
  Williams," 1,690 "," 1,780 "," 1,840 "," 1,850 "," 1,900 "," 1,980 "," 2,010 "," 2,090 "," 2,210 "," 2,280 "
  Incorporated," 5,750 "," 5,875 "," 5,975 "," 6,025 "," 6,250 "," 6,475 "," 6,550 "," 6,700 "," 6,975 "," 7,175 "
  Unincorporated," 7,275 "," 7,625 "," 7,950 "," 8,025 "," 8,050 "," 8,225 "," 8,250 "," 8,375 "," 8,650 "," 8,975 "
,,,,,,,,,,
CONTRA COSTA," 662,900 "," 672,900 "," 684,300 "," 694,100 "," 704,600 "," 718,500 "," 733,400 "," 750,900 "," 772,900 "," 797,600 "
  Antioch," 43,500 "," 44,300 "," 45,500 "," 46,350 "," 47,050 "," 48,600 "," 51,400 "," 53,700 "," 57,100 "," 61,200 "
  Brentwood," 4,530 "," 4,840 "," 5,175 "," 5,325 "," 5,425 "," 5,650 "," 6,425 "," 6,800 "," 7,250 "," 7,500 "
  Clayton," 4,470 "," 4,440 "," 4,480 "," 4,590 "," 4,780 "," 4,990 "," 5,025 "," 6,950 "," 7,050 "," 7,150 "
