,"Table 2: E-4 Population Estimates for Cities, Counties, and State",,,,,,,,
,2011-2018 with 2010 Benchmark,,,,,,,,
,,,,,,,,,
COUNTY/CITY,4/1/10,1/1/11,1/1/12,1/1/13,1/1/14,1/1/15,1/1/16,1/1/17,1/1/18
,,,,,,,,,
California,,,,,,,,,
Tehachapi           ,"14,414","14,342","13,697","13,129","13,056","12,707","12,119","12,325","12,299"
Wasco               ,"25,545","25,926","25,472","25,913","26,185","26,371","26,521","27,056","27,691"
Balance Of County    ,"297,932","300,995","304,284","307,766","308,838","309,962","310,946","312,920","315,289"
Incorporated,"541,699","544,569","549,523","555,958","562,965","570,384","575,207","583,181","590,512"
County Total,"839,631","845,564","853,807","863,724","871,803","880,346","886,153","896,101","905,801"
,,,,,,,,,
Kings County,,,,,,,,,
Avenal              ,"15,505","14,852","14,652","13,922","12,975","12,799","12,087","12,255","13,053"
Corcoran            ,"24,813","23,944","23,511","23,000","22,466","22,096","22,492","21,560","21,450"
Hanford             ,"53,967","54,366","55,094","55,317","55,618","56,474","56,819","57,482","58,176"
Lemoore             ,"24,531","24,476","24,594","24,948","25,169","25,306","25,648","25,681","25,892"
Balance Of County    ,"34,166","33,698","33,532","33,311","33,526","33,055","32,698","32,581","33,091"
Incorporated,"118,816","117,638","117,851","117,187","116,228","116,675","117,046","116,978","118,571"
County Total,"152,982","151,336","151,383","150,498","149,754","149,730","149,744","149,559","151,662"
,,,,,,,,,
Lake County,,,,,,,,,
Clearlake           ,"15,250","15,564","15,552","15,625","15,687","16,057","16,242","16,151","15,917"
Lakeport            ,"4,753","4,834","4,829","4,857","4,975","5,097","5,151","5,125","5,134"
Balance Of County    ,"44,662","44,423","44,348","44,281","44,189","43,992","43,348","43,464","44,030"
Incorporated,"20,003","20,398","20,381","20,482","20,662","21,154","21,393","21,276","21,051"
County Total,"64,665","64,821","64,729","64,763","64,851","65,146","64,741","64,740","65,081"
,,,,,,,,,
Lassen County,,,,,,,,,
Susanville          ,"17,947","17,335","16,500","15,527","15,375","14,992","14,417","14,815","14,954"
Balance Of County    ,"16,948","17,318","17,393","17,268","16,607","16,616","16,405","15,846","15,957"
Incorporated,"17,947","17,335","16,500","15,527","15,375","14,992","14,417","14,815","14,954"
County Total,"34,895","34,653","33,893","32,795","31,982","31,608","30,822","30,661","30,911"
,,,,,,,,,
Los Angeles County,,,,,,,,,
Agoura Hills        ,"20,330","20,437","20,566","20,666","20,747","20,844","20,887","20,858","20,878"
Alhambra            ,"83,089","83,348","83,992","84,476","84,732","85,393","85,628","86,420","86,665"
Arcadia             ,"56,364","56,095","56,389","56,529","56,907","57,042","57,304","57,506","57,704"
Artesia             ,"16,522","16,534","16,635","16,697","16,745","16,784","16,744","16,781","16,792"
Avalon              ,"3,728","3,787","3,815","3,834","3,855","3,866","3,871","3,860","3,867"
Azusa               ,"46,361","46,188","46,641","47,512","48,152","49,086","49,251","49,606","49,954"
Baldwin Park        ,"75,390","75,116","75,683","75,944","76,022","76,183","76,116","76,463","76,708"
Bell                ,"35,477","35,719","35,935","36,128","36,290","36,378","36,408","36,297","36,325"
Bellflower          ,"76,610","76,464","76,932","77,145","77,335","77,532","77,433","77,466","77,682"
Bell Gardens        ,"42,072","42,235","42,501","42,690","42,850","42,969","42,973","42,971","43,051"
Beverly Hills       ,"34,109","33,991","34,251","34,361","34,407","34,486","34,464","34,443","34,504"
Bradbury            ,"1,048","1,044","1,055","1,057","1,058","1,061","1,058","1,068","1,069"
Burbank             ,"103,340","104,783","105,461","106,085","106,581","106,892","106,995","107,029","107,149"
Calabasas           ,"23,058","23,099","23,772","23,863","23,945","24,162","24,113","24,183","24,296"
Carson              ,"91,714","91,577","92,333","92,640","92,904","93,220","93,233","93,453","93,799"
Cerritos            ,"49,047","48,841","49,140","49,245","49,305","49,424","49,405","50,025","50,058"
Claremont           ,"34,926","34,973","35,377","35,780","35,864","36,161","36,158","36,293","36,446"
Commerce            ,"12,823","12,858","12,937","12,991","13,033","13,061","13,060","13,061","13,067"
Compton             ,"96,455","97,716","98,363","99,025","99,605","99,820","99,703","99,751","99,872"
Covina              ,"47,796","47,963","48,322","48,616","48,789","48,941","48,905","48,901","49,006"
Cudahy              ,"23,805","23,928","24,077","24,196","24,293","24,368","24,374","24,328","24,343"
Culver City         ,"38,883","39,018","39,254","39,444","39,750","39,859","39,893","39,847","39,860"
Diamond Bar         ,"55,544","55,748","56,095","56,328","56,510","56,653","57,069","57,245","57,460"
Downey              ,"111,772","111,923","112,606","113,028","113,349","113,636","113,521","113,670","114,146"
Duarte              ,"21,321","21,421","21,564","21,704","21,788","21,914","22,034","21,999","22,013"
El Monte            ,"113,475","114,193","114,922","115,487","116,012","116,472","116,927","116,942","117,204"
El Segundo          ,"16,654","16,565","16,665","16,692","16,706","16,774","16,756","16,777","16,784"
Gardena             ,"58,829","59,164","59,593","60,041","60,488","60,692","60,918","60,987","61,246"
Glendale            ,"191,719","192,916","194,119","195,110","197,010","199,953","200,889","201,705","205,536"
Glendora            ,"50,073","50,461","50,829","51,159","51,746","51,808","51,932","52,452","52,703"
Hawaiian Gardens    ,"14,254","14,351","14,438","14,518","14,589","14,649","14,680","14,625","14,666"
Hawthorne           ,"84,293","85,267","85,909","86,400","87,533","88,365","88,661","88,706","88,772"
Hermosa Beach       ,"19,506","19,607","19,728","19,808","19,879","19,859","19,815","19,684","19,673"
Hidden Hills        ,"1,856","1,853","1,861","1,873","1,877","1,873","1,877","1,900","1,892"
Huntington Park     ,"58,114","58,520","58,879","59,205","59,569","59,724","59,617","59,425","59,473"
Industry            ,451,438,436,436,436,436,435,437,437
Inglewood           ,"109,673","110,781","111,961","112,659","113,294","113,584","113,452","113,476","113,559"
Irwindale           ,"1,422","1,403","1,401","1,431","1,432","1,435","1,391","1,414","1,450"
La Canada Flintridge,"20,246","20,339","20,482","20,583","20,648","20,661","20,673","20,638","20,683"
La Habra Heights    ,"5,325","5,326","5,368","5,386","5,412","5,419","5,415","5,453","5,454"
Lakewood            ,"80,048","79,886","80,429","80,658","80,824","81,018","81,057","81,126","81,179"
La Mirada           ,"48,527","48,715","48,999","49,216","49,388","49,630","49,610","49,558","49,590"
Lancaster           ,"156,633","157,904","158,742","159,470","160,449","161,014","161,244","161,148","161,485"
La Puente           ,"39,816","39,883","40,154","40,343","40,505","40,629","40,576","40,640","40,686"
La Verne            ,"31,063","31,146","31,615","32,170","32,292","33,039","33,037","33,169","33,260"
Lawndale            ,"32,769","32,941","33,148","33,316","33,445","33,548","33,557","33,580","33,607"
Lomita              ,"20,256","20,189","20,372","20,438","20,471","20,528","20,504","20,659","20,715"
Long Beach          ,"462,257","466,983","470,217","473,818","475,541","476,892","477,015","477,628","478,561"
Los Angeles         ,"3,792,621","3,818,303","3,852,940","3,891,254","3,926,990","3,959,840","3,985,114","4,021,488","4,054,400"
Lynwood             ,"69,772","69,846","70,526","71,306","71,587","71,840","71,735","71,895","72,015"
Malibu              ,"12,645","12,676","12,757","12,812","12,884","12,927","12,935","12,939","12,957"
Manhattan Beach     ,"35,135","35,202","35,412","35,543","35,597","35,718","35,671","35,961","35,991"
Maywood             ,"27,395","27,596","27,733","27,885","28,013","28,080","28,119","28,021","28,044"
Monrovia            ,"36,590","36,763","37,001","37,215","37,383","37,546","37,683","38,735","38,787"
Montebello          ,"62,500","62,656","63,054","63,293","63,469","63,908","63,890","64,142","64,327"
Monterey Park       ,"60,269","60,307","61,346","61,553","61,722","61,870","61,796","62,154","62,240"
Norwalk             ,"105,549","105,926","106,403","106,744","107,111","107,411","107,342","107,251","107,546"
Palmdale            ,"152,750","154,309","155,501","156,514","157,628","158,644","158,635","158,658","158,905"
