"Table 2: E-4 Population Estimates for Cities, Counties and State, 2001-2010",,,,,,,,,,,,
with 2000 & 2010 Census Counts,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY/CITY,4/1/00,1/1/01,1/1/02,1/1/03,1/1/04,1/1/05,1/1/06,1/1/07,1/1/08,1/1/09,1/1/10,4/1/10
,,,,,,,,,,,,
California,,,,,,,,,,,,
County Total,"129,461","131,100","133,551","136,710","140,688","143,607","146,045","148,933","151,106","151,816","152,717","152,982"
,,,,,,,,,,,,
Lake County,,,,,,,,,,,,
Clearlake           ,"13,147","13,315","13,570","13,773","14,003","14,069","14,194","14,551","14,831","15,100","15,207","15,250"
Lakeport            ,"4,820","4,841","4,891","4,904","4,892","4,873","4,826","4,779","4,719","4,796","4,758","4,753"
Balance Of County    ,"40,358","41,104","42,064","42,815","43,412","43,928","44,429","44,560","44,628","44,488","44,615","44,662"
Incorporated,"17,967","18,156","18,461","18,677","18,895","18,942","19,020","19,330","19,550","19,896","19,965","20,003"
County Total,"58,325","59,260","60,525","61,492","62,307","62,870","63,449","63,890","64,178","64,384","64,580","64,665"
,,,,,,,,,,,,
Lassen County,,,,,,,,,,,,
Susanville          ,"17,465","17,428","17,317","17,658","18,120","18,304","18,528","18,343","18,216","17,998","17,881","17,947"
Balance Of County    ,"16,363","16,335","16,311","16,170","16,193","16,248","16,241","17,036","17,221","16,949","16,913","16,948"
Incorporated,"17,465","17,428","17,317","17,658","18,120","18,304","18,528","18,343","18,216","17,998","17,881","17,947"
County Total,"33,828","33,763","33,628","33,828","34,313","34,552","34,769","35,379","35,437","34,947","34,794","34,895"
,,,,,,,,,,,,
Los Angeles County,,,,,,,,,,,,
Agoura Hills        ,"20,537","20,519","21,001","20,986","20,850","21,624","21,292","20,995","20,770","20,569","20,398","20,330"
Alhambra            ,"85,757","86,153","86,499","86,702","86,771","86,541","84,944","84,096","83,551","83,221","83,220","83,089"
Arcadia             ,"53,054","53,669","54,640","55,158","55,388","55,521","55,473","55,607","55,707","55,975","56,304","56,364"
Artesia             ,"16,380","16,502","16,570","16,622","16,681","16,598","16,720","16,628","16,544","16,508","16,514","16,522"
Avalon              ,"3,279","3,327","3,388","3,506","3,540","3,551","3,557","3,594","3,633","3,674","3,719","3,728"
Azusa               ,"44,712","44,933","45,455","46,152","46,808","46,642","46,279","46,133","46,117","46,227","46,382","46,361"
Baldwin Park        ,"75,837","76,576","77,002","77,477","77,516","77,383","76,765","76,264","76,066","75,666","75,490","75,390"
Bell                ,"36,664","36,767","36,855","37,114","37,152","36,925","36,564","36,219","35,803","35,630","35,538","35,477"
Bellflower          ,"72,878","73,577","74,664","75,853","76,260","76,306","75,991","75,787","75,911","76,220","76,531","76,616"
Bell Gardens        ,"44,054","44,108","44,177","44,193","43,809","43,468","42,852","42,868","42,551","42,288","42,176","42,072"
Beverly Hills       ,"33,784","34,155","34,370","34,595","34,690","34,567","34,308","34,210","34,028","34,084","34,136","34,109"
