"year","state","population","violent.crime.total","murder.and.nonnegligent.manslaughter.total","legacy.rape.total","revised.rape.total","robbery.total","aggravated.assault.total","property.crime.total","burglary.total","larceny.theft.total","motor.vehicle.theft.total","violent.nr.crime.total","aggregate.crime.total","violent.crime.rate","murder.and.nonnegligent.manslaughter.rate","legacy.rape.rate","revised.rape.rate","robbery.rate","aggravated.assault.rate","property.crime.rate","burglary.rate","larceny.theft.rate","motor.vehicle.theft.rate","violent.nr.crime.rate","aggregate.crime.rate","violent.crime.rate.chg","murder.and.nonnegligent.manslaughter.rate.chg","legacy.rape.rate.chg","revised.rape.rate.chg","robbery.rate.chg","aggravated.assault.rate.chg","property.crime.rate.chg","burglary.rate.chg","larceny.theft.rate.chg","motor.vehicle.theft.rate.chg","violent.nr.crime.rate.chg","aggregate.crime.rate.chg"
2005,"California",36154147,190178,2503,9392,NA,63622,114661,1200531,250521,692467,257543,180786,1381317,526.019878162248,6.92313388004978,25.9776561731632,NA,175.974280350191,317.144807758844,3320.59002802638,692.924659514163,1915.31831742566,712.34705108656,500.042221989085,3820.63225001547,-1.78214023860301,0.249406230969107,-0.848385359408134,NA,3.64032992025125,-4.82349103041531,-103.305677904177,6.85039108110129,-117.732928153623,7.57685916834373,-0.933754879194908,-104.239432783373
2006,"California",36457549,194483,2486,9235,NA,71142,111620,1159988,247230,669103,243655,185248,1345236,533.450561912431,6.81888955288794,25.3308306600644,NA,195.136540857423,306.164300842056,3181.749820867,678.131160161096,1835.2934257868,668.325234919111,508.119731252367,3689.86955211937,7.43068375018345,-0.10424432716184,-0.646825513098808,NA,19.1622605072324,-10.9805069167883,-138.84020715938,-14.7934993530672,-80.0248916388641,-44.0218161674491,8.07750926328225,-130.762697896098
2007,"California",36553215,191561,2262,9046,NA,70706,109547,1112510,237850,654526,220134,182515,1295025,524.060605886514,6.18823816181422,24.7474811723127,NA,193.433053699928,299.691832852459,3043.5352950486,650.695157730996,1790.61130464174,602.228832675867,499.313124714201,3542.8484197628,-9.38995602591763,-0.630651391073715,-0.583349487751647,NA,-1.70348715749535,-6.47246798959696,-138.2145258184,-27.4360024301002,-44.682121145057,-66.0964022432437,-8.80660653816597,-147.021132356566
2008,"California",36756666,185329,2142,8903,NA,69388,104896,1080996,237811,650656,192529,176426,1257422,504.205142000637,5.82751438881862,24.2214568644501,NA,188.776642582328,285.379528165041,2940.95226155713,646.987406311552,1770.17142958504,523.793425660532,479.983685136187,3420.93594669332,-19.8554638858763,-0.360723772995605,-0.526024307862638,NA,-4.65641111759984,-14.3123046874182,-102.583033491474,-3.70775141944387,-20.439875056695,-78.4354070153353,-19.3294395780137,-121.912473069488
2009,"California",36961664,174934,1972,8713,NA,64093,100156,1009433,230198,615402,163833,166221,1175654,473.284968988409,5.33525763342256,23.573072900614,NA,173.403989603931,270.972648850441,2731.02693644961,622.802047007407,1664.97374144194,443.251148000263,449.711896087795,3180.73883253741,-30.9201730122282,-0.492256755396051,-0.648383963836114,NA,-15.3726529783965,-14.4068793145995,-209.925325107514,-24.1853593041444,-105.197688143101,-80.5422776602687,-30.2717890483921,-240.197114155906
2010,"California",37338198,164133,1809,8331,NA,58116,95877,981939,228857,600558,152524,155802,1137741,439.584684831335,4.84490440593839,22.3122712028042,NA,155.647575707858,256.779933514735,2629.85107101312,612.929954466469,1608.42791609815,408.493200448506,417.272413628531,3047.12348464165,-33.7002841570737,-0.490353227484174,-1.26080169780983,NA,-17.756413896073,-14.1927153357067,-101.175865436493,-9.87209254093852,-56.5458253437967,-34.7579475517574,-32.4394824592638,-133.615347895756
2011,"California",37683933,154943,1792,7665,NA,54291,91195,973822,230075,596905,146842,147278,1121100,411.164620210953,4.75534228340763,20.3402335950443,NA,144.069357091788,241.999687240713,2584.18355642443,610.538714204804,1583.97744736464,389.66739485499,390.824386615909,2975.00794304034,-28.4200646203824,-0.0895621225307641,-1.97203760775983,NA,-11.5782186160706,-14.7802462740213,-45.6675145886902,-2.39124026166439,-24.4504687335102,-18.8258055935155,-26.4480270126226,-72.115541601313
2012,"California",37999878,160944,1884,7837,NA,56521,94702,1049465,245767,635090,168608,153107,1202572,423.538201885806,4.95791065434473,20.6237504236198,NA,148.739951217738,249.216589590103,2761.75886669952,646.757339589353,1671.29483942027,443.706687689892,402.914451462186,3164.67331816171,12.373581674853,0.202568370937106,0.283516828575443,NA,4.67059412595046,7.21690234938998,177.575310275088,36.2186253845489,87.3173920556369,54.0392928349017,12.0900648462776,189.665375121366
2013,"California",38431393,154739,1746,7464,10324,53640,89029,1018907,232058,621557,165292,144415,1163322,402.636979617158,4.54316084769553,19.4216223179836,26.8634550925594,139.57339511477,231.656968562134,2651.23619120441,603.824066434438,1617.31582303041,430.09630173957,375.773524524599,3027.00971572901,-20.9012222686478,-0.414749806649204,-1.20212810563615,NA,-9.16655610296826,-17.5596210279698,-110.522675495105,-42.9332731549152,-53.9790163898674,-13.610385950322,-27.1409269375873,-137.663602432693
2014,"California",38802500,153709,1699,8398,11527,48680,91803,947192,202670,592670,151852,142182,1089374,396.131692545583,4.37858385413311,21.6429353778751,29.7068487855164,125.455834031312,236.590425874621,2441.05921010244,522.311706719928,1527.40158494942,391.345918433091,366.424843760067,2807.48405386251,-6.50528707157486,-0.164576993562418,2.2213130598915,2.84339369295704,-14.1175610834574,4.93345731248789,-210.176981101973,-81.5123597145102,-89.9142380809831,-38.7503833064794,-9.34868076453193,-219.525661866504
2015,"California",38993940,166883,1861,9341,12811,52862,99349,1024914,197404,656517,170993,154072,1178986,427.971628412005,4.77253645053565,23.9550042904103,32.8538229273574,135.564654405274,254.780614628837,2628.39302722423,506.242764901418,1683.63853460307,438.511727719743,395.117805484647,3023.51083270888,31.8399358664211,0.393952596402538,2.31206891253512,3.14697414184104,10.1088203739619,18.1901887542157,187.333817121788,-16.0689418185098,156.236949653646,47.1658092866524,28.6929617245801,216.026778846368
2016,"California",39296476,174796,1930,NA,13702,54789,104375,1002070,188304,637010,176756,161094,1163164,444.813422964441,4.91138187556564,NA,34.8682665590675,139.424715844749,265.609058685059,2550.02509639796,479.188006578503,1621.03594225599,449.801147563461,409.945156405373,2959.97025280333,16.8417945524363,0.138845425029989,NA,2.0144436317101,3.86006143947475,10.8284440562214,-78.3679308262731,-27.0547583229147,-62.6025923470768,11.2894198437179,14.8273509207263,-63.540579905547
2017,"California",39536653,177627,1830,NA,14721,56622,104454,987114,176690,642033,168391,162906,1150020,449.271717562941,4.62861638793754,NA,37.2338042878845,143.213943780218,264.195353106901,2496.70603123638,446.901764800374,1623.89315049,425.911115946006,412.037913275056,2908.74394451144,4.4582945985,-0.282765487628094,NA,2.36553772881692,3.78922793546931,-1.41370557815804,-53.3190651615751,-32.2862417781294,2.8572082340097,-23.8900316174551,2.09275686968306,-51.2263082918917
