"county","year","total.pop","property.sum","violent.nr.sum","totalcrime.sum","st.le.sum","cnty.le.sum","prosecution.sum","publicdefense.sum","probationdept.sum","st.le.sum_per.crime","cnty.le.sum_per.crime","prosecution.sum_per.crime","publicdefense.sum_per.crime","probationdept.sum_per.crime"
"Fresno",2015,972333,33447,4912,38359,2712,2712,260,94,522,707.004874996741,707.004874996741,67.7807033551448,24.5053312130139,136.082796736098
"Fresno",2016,979534,31784,5667,37451,2834,2834,239,113,533,756.722116899415,756.722116899415,63.816720514806,30.1727590718539,142.319297215028
"Fresno",2017,989255,30354,5409,35763,2908,2908,238,113,545,813.130889466767,813.130889466767,66.5492268545704,31.5969018259095,152.392137124962
"Glenn",2003,27016,872,66,938,91,91,7,NA,36,970.149253731343,970.149253731343,74.6268656716418,NA,383.795309168444
"Glenn",2004,27122,1042,68,1110,92,92,7,NA,28,828.828828828829,828.828828828829,63.0630630630631,NA,252.252252252252
"Glenn",2005,27393,825,65,890,84,84,8,NA,27,943.820224719101,943.820224719101,89.8876404494382,NA,303.370786516854
"Glenn",2006,27652,670,70,740,92,92,9,NA,27,1243.24324324324,1243.24324324324,121.621621621622,NA,364.864864864865
"Glenn",2007,27775,602,64,666,95,95,10,NA,23,1426.42642642643,1426.42642642643,150.15015015015,NA,345.345345345345
"Glenn",2008,28019,603,57,660,93,93,9,NA,21,1409.09090909091,1409.09090909091,136.363636363636,NA,318.181818181818
"Glenn",2009,28100,566,52,618,84,84,9,NA,22,1359.22330097087,1359.22330097087,145.631067961165,NA,355.987055016181
"Glenn",2010,28122,610,68,678,91,91,4,NA,23,1342.18289085546,1342.18289085546,58.9970501474926,NA,339.233038348083
"Glenn",2011,28160,642,62,704,74,74,6,NA,22,1051.13636363636,1051.13636363636,85.2272727272727,NA,312.5
"Glenn",2012,27894,732,76,808,79,79,5,NA,24,977.722772277228,977.722772277228,61.8811881188119,NA,297.029702970297
"Glenn",2013,27866,714,137,851,80,80,5,0,25,940.070505287897,940.070505287897,58.7544065804935,0,293.772032902468
"Glenn",2014,27909,527,100,627,81,81,4,0,29,1291.86602870813,1291.86602870813,63.7958532695375,0,462.519936204147
"Glenn",2015,27841,514,98,612,78,78,5,0,28,1274.50980392157,1274.50980392157,81.6993464052288,0,457.516339869281
"Glenn",2016,27967,559,96,655,78,78,6,0,26,1190.83969465649,1190.83969465649,91.6030534351145,0,396.946564885496
"Glenn",2017,28094,503,108,611,75,75,8,0,17,1227.49590834697,1227.49590834697,130.932896890344,0,278.23240589198
"Humboldt",2003,129754,5166,343,5509,412,412,64,17,113,747.86712652024,747.86712652024,116.173534216736,30.8585950263206,205.118896351425
"Humboldt",2004,130702,5145,376,5521,382,382,56,29,113,691.903640644811,691.903640644811,101.430900199239,52.5267161746061,204.673066473465
"Humboldt",2005,131497,4820,340,5160,384,384,49,30,112,744.186046511628,744.186046511628,94.9612403100775,58.1395348837209,217.054263565891
"Humboldt",2006,132093,4254,355,4609,388,388,55,30,119,841.831199826427,841.831199826427,119.331742243437,65.0900412236928,258.190496853981
"Humboldt",2007,132001,3824,431,4255,386,386,54,30,116,907.16803760282,907.16803760282,126.909518213866,70.5052878965923,272.62044653349
"Humboldt",2008,132657,3662,422,4084,399,399,53,30,112,976.983349657199,976.983349657199,129.774730656219,73.4573947110676,274.240940254652
"Humboldt",2009,133744,4045,508,4553,400,400,55,30,113,878.541620909291,878.541620909291,120.799472875027,65.8906215681968,248.188007906875
"Humboldt",2010,134623,4315,467,4782,398,398,52,28,86,832.287745713091,832.287745713091,108.741112505228,58.5529067335843,179.841070681723
"Humboldt",2011,135239,4211,373,4584,379,379,48,25,96,826.788830715532,826.788830715532,104.712041884817,54.5375218150087,209.424083769634
"Humboldt",2012,134596,4850,350,5200,374,374,47,26,98,719.230769230769,719.230769230769,90.3846153846154,50,188.461538461538
"Humboldt",2013,134444,4984,427,5411,381,381,48,25,101,704.121234522269,704.121234522269,88.7081870264276,46.2021807429311,186.656810201441
"Humboldt",2014,134584,4787,426,5213,386,386,50,25,107,740.456550930366,740.456550930366,95.9140610013428,47.9570305006714,205.256090542874
"Humboldt",2015,135219,4400,484,4884,382,382,51,25,92,782.145782145782,782.145782145782,104.422604422604,51.1875511875512,188.370188370188
"Humboldt",2016,136449,4001,620,4621,395,395,57,25,94,854.793334776023,854.793334776023,123.349924258818,54.100843973166,203.419173339104
"Humboldt",2017,136754,4196,572,4768,403,403,54,25,97,845.218120805369,845.218120805369,113.255033557047,52.4328859060403,203.439597315436
"Imperial",2003,148984,5269,752,6021,471,471,43,14,149,782.262082710513,782.262082710513,71.4167081880086,23.2519515030726,247.467198139844
"Imperial",2004,152259,5619,653,6272,447,447,45,14,147,712.691326530612,712.691326530612,71.7474489795918,22.3214285714286,234.375
"Imperial",2005,156113,6229,748,6977,453,453,47,24,150,649.276193206249,649.276193206249,67.364196646123,34.3987387129139,214.992116955712
"Imperial",2006,160505,6388,645,7033,473,473,44,24,110,672.543722451301,672.543722451301,62.5622067396559,34.1248400398123,156.40551684914
"Imperial",2007,164596,6066,517,6583,483,483,49,24,105,733.708035849917,733.708035849917,74.4341485644843,36.4575421540331,159.501746923895
"Imperial",2008,167917,6228,452,6680,512,512,55,24,101,766.467065868263,766.467065868263,82.3353293413174,35.9281437125749,151.197604790419
"Imperial",2009,172008,5642,572,6214,502,502,54,24,100,807.853234631477,807.853234631477,86.9005471515932,38.6224654007081,160.926939169617
"Imperial",2010,174528,5772,592,6364,485,485,59,24,90,762.099308610937,762.099308610937,92.7089880578253,37.7121307353866,141.4204902577
"Imperial",2011,176157,5708,422,6130,466,466,57,24,92,760.195758564437,760.195758564437,92.9853181076672,39.1517128874388,150.081566068515
"Imperial",2012,177241,6313,479,6792,471,471,57,24,90,693.462897526502,693.462897526502,83.9222614840989,35.3356890459364,132.508833922261
"Imperial",2013,177267,5698,488,6186,465,465,63,24,92,751.697381183317,751.697381183317,101.84287099903,38.7972841901067,148.722922728742
